"Step","lemon-valley-41 - accuracy","lemon-valley-41 - accuracy__MIN","lemon-valley-41 - accuracy__MAX","Best result sgd with sam - accuracy","Best result sgd with sam - accuracy__MIN","Best result sgd with sam - accuracy__MAX","polished-microwave-39 - accuracy","polished-microwave-39 - accuracy__MIN","polished-microwave-39 - accuracy__MAX","SGD with SAM lr-0.1 - accuracy","SGD with SAM lr-0.1 - accuracy__MIN","SGD with SAM lr-0.1 - accuracy__MAX","SGD with sam lr-0.05 - accuracy","SGD with sam lr-0.05 - accuracy__MIN","SGD with sam lr-0.05 - accuracy__MAX","SGD with SAM lr-0.01 - accuracy","SGD with SAM lr-0.01 - accuracy__MIN","SGD with SAM lr-0.01 - accuracy__MAX","Adagrad lr-0.001 - accuracy","Adagrad lr-0.001 - accuracy__MIN","Adagrad lr-0.001 - accuracy__MAX","Adagrad lr-0.005 - accuracy","Adagrad lr-0.005 - accuracy__MIN","Adagrad lr-0.005 - accuracy__MAX","Adagrad lr -0.01 - accuracy","Adagrad lr -0.01 - accuracy__MIN","Adagrad lr -0.01 - accuracy__MAX","RMSprop lr-0.005 - accuracy","RMSprop lr-0.005 - accuracy__MIN","RMSprop lr-0.005 - accuracy__MAX","RMSprop lr-0.05 - accuracy","RMSprop lr-0.05 - accuracy__MIN","RMSprop lr-0.05 - accuracy__MAX","RMSprop lr-0.01 - accuracy","RMSprop lr-0.01 - accuracy__MIN","RMSprop lr-0.01 - accuracy__MAX","Adam lr-0.0001 - accuracy","Adam lr-0.0001 - accuracy__MIN","Adam lr-0.0001 - accuracy__MAX","Adam lr-0.0005 overflow - accuracy","Adam lr-0.0005 overflow - accuracy__MIN","Adam lr-0.0005 overflow - accuracy__MAX","Adam lr-0.001 batch_size 64 - accuracy","Adam lr-0.001 batch_size 64 - accuracy__MIN","Adam lr-0.001 batch_size 64 - accuracy__MAX","SGD lr-0.001 batch_size 256 - accuracy","SGD lr-0.001 batch_size 256 - accuracy__MIN","SGD lr-0.001 batch_size 256 - accuracy__MAX","SGD-lr-0.05-batch_size 128 - accuracy","SGD-lr-0.05-batch_size 128 - accuracy__MIN","SGD-lr-0.05-batch_size 128 - accuracy__MAX","SGD-lr-0.01-batch_size-128 - accuracy","SGD-lr-0.01-batch_size-128 - accuracy__MIN","SGD-lr-0.01-batch_size-128 - accuracy__MAX"
"79","0.3447","0.3447","0.3447","0.4311","0.4311","0.4311","0.4933","0.4933","0.4933","0.4841","0.4841","0.4841","0.4869","0.4869","0.4869","0.449","0.449","0.449","0.4392","0.4392","0.4392","0.4601","0.4601","0.4601","0.4585","0.4585","0.4585","0.3734","0.3734","0.3734","","","","0.3254","0.3254","0.3254","0.4634","0.4634","0.4634","","","","0.3959","0.3959","0.3959","0.1988","0.1988","0.1988","0.3996","0.3996","0.3996","0.4558","0.4558","0.4558"
"80","0.3458","0.3458","0.3458","0.4385","0.4385","0.4385","0.4893","0.4893","0.4893","0.4792","0.4792","0.4792","0.4875","0.4875","0.4875","0.4487","0.4487","0.4487","0.4376","0.4376","0.4376","0.4646","0.4646","0.4646","0.456","0.456","0.456","0.373","0.373","0.373","","","","0.3354","0.3354","0.3354","0.4692","0.4692","0.4692","","","","0.3941","0.3941","0.3941","0.1995","0.1995","0.1995","0.3899","0.3899","0.3899","0.4176","0.4176","0.4176"
"81","0.3471","0.3471","0.3471","0.4391","0.4391","0.4391","0.4898","0.4898","0.4898","0.4894","0.4894","0.4894","0.4913","0.4913","0.4913","0.4466","0.4466","0.4466","0.4416","0.4416","0.4416","0.4653","0.4653","0.4653","0.4533","0.4533","0.4533","0.3588","0.3588","0.3588","","","","0.3322","0.3322","0.3322","0.4676","0.4676","0.4676","","","","0.4006","0.4006","0.4006","0.1994","0.1994","0.1994","0.4019","0.4019","0.4019","0.4534","0.4534","0.4534"
"82","0.3518","0.3518","0.3518","0.4391","0.4391","0.4391","0.496","0.496","0.496","0.4826","0.4826","0.4826","0.4824","0.4824","0.4824","0.4493","0.4493","0.4493","0.4384","0.4384","0.4384","0.4614","0.4614","0.4614","0.4563","0.4563","0.4563","0.3673","0.3673","0.3673","","","","0.326","0.326","0.326","0.4735","0.4735","0.4735","","","","0.3955","0.3955","0.3955","0.2002","0.2002","0.2002","0.403","0.403","0.403","0.4487","0.4487","0.4487"
"83","0.3488","0.3488","0.3488","0.4392","0.4392","0.4392","0.494","0.494","0.494","0.4873","0.4873","0.4873","0.4861","0.4861","0.4861","0.4505","0.4505","0.4505","0.4407","0.4407","0.4407","0.4625","0.4625","0.4625","0.4556","0.4556","0.4556","0.3664","0.3664","0.3664","","","","0.3272","0.3272","0.3272","0.4641","0.4641","0.4641","","","","0.3962","0.3962","0.3962","0.1999","0.1999","0.1999","0.407","0.407","0.407","0.4628","0.4628","0.4628"
"84","0.3523","0.3523","0.3523","0.4402","0.4402","0.4402","0.5006","0.5006","0.5006","0.4904","0.4904","0.4904","0.4869","0.4869","0.4869","0.4565","0.4565","0.4565","0.4388","0.4388","0.4388","0.4644","0.4644","0.4644","0.4558","0.4558","0.4558","0.3626","0.3626","0.3626","","","","0.3279","0.3279","0.3279","0.4588","0.4588","0.4588","","","","0.3966","0.3966","0.3966","0.2015","0.2015","0.2015","0.4031","0.4031","0.4031","0.4601","0.4601","0.4601"
"85","0.3532","0.3532","0.3532","0.4459","0.4459","0.4459","0.4958","0.4958","0.4958","0.4828","0.4828","0.4828","0.4889","0.4889","0.4889","0.4555","0.4555","0.4555","0.4435","0.4435","0.4435","0.4651","0.4651","0.4651","0.4556","0.4556","0.4556","0.3615","0.3615","0.3615","","","","0.3405","0.3405","0.3405","0.4719","0.4719","0.4719","","","","0.3889","0.3889","0.3889","0.2011","0.2011","0.2011","0.3904","0.3904","0.3904","0.4635","0.4635","0.4635"
"86","0.3522","0.3522","0.3522","0.4425","0.4425","0.4425","0.4959","0.4959","0.4959","0.4902","0.4902","0.4902","0.4894","0.4894","0.4894","0.4549","0.4549","0.4549","0.4434","0.4434","0.4434","0.462","0.462","0.462","0.4503","0.4503","0.4503","0.3737","0.3737","0.3737","","","","0.3351","0.3351","0.3351","0.4617","0.4617","0.4617","","","","0.3939","0.3939","0.3939","0.2012","0.2012","0.2012","0.4097","0.4097","0.4097","0.464","0.464","0.464"
"87","0.3526","0.3526","0.3526","0.4403","0.4403","0.4403","0.4908","0.4908","0.4908","0.483","0.483","0.483","0.4922","0.4922","0.4922","0.4538","0.4538","0.4538","0.4409","0.4409","0.4409","0.4624","0.4624","0.4624","0.4543","0.4543","0.4543","0.3709","0.3709","0.3709","","","","0.3376","0.3376","0.3376","0.4602","0.4602","0.4602","","","","0.3925","0.3925","0.3925","0.2022","0.2022","0.2022","0.41","0.41","0.41","0.4456","0.4456","0.4456"
"88","0.3541","0.3541","0.3541","0.4456","0.4456","0.4456","0.4936","0.4936","0.4936","0.4892","0.4892","0.4892","0.4907","0.4907","0.4907","0.4556","0.4556","0.4556","0.4403","0.4403","0.4403","0.4606","0.4606","0.4606","0.4533","0.4533","0.4533","0.3575","0.3575","0.3575","","","","0.2994","0.2994","0.2994","0.4678","0.4678","0.4678","","","","0.3914","0.3914","0.3914","0.2034","0.2034","0.2034","0.4147","0.4147","0.4147","0.4636","0.4636","0.4636"
"89","0.3537","0.3537","0.3537","0.4444","0.4444","0.4444","0.4908","0.4908","0.4908","0.4878","0.4878","0.4878","0.4925","0.4925","0.4925","0.459","0.459","0.459","0.4422","0.4422","0.4422","0.464","0.464","0.464","0.4546","0.4546","0.4546","0.3767","0.3767","0.3767","","","","0.2983","0.2983","0.2983","0.4568","0.4568","0.4568","","","","0.3933","0.3933","0.3933","0.2035","0.2035","0.2035","0.4042","0.4042","0.4042","0.4609","0.4609","0.4609"
"90","0.3553","0.3553","0.3553","0.4488","0.4488","0.4488","0.4987","0.4987","0.4987","0.4921","0.4921","0.4921","0.4906","0.4906","0.4906","0.458","0.458","0.458","0.4431","0.4431","0.4431","0.4623","0.4623","0.4623","0.4507","0.4507","0.4507","0.3658","0.3658","0.3658","","","","0.3409","0.3409","0.3409","0.4559","0.4559","0.4559","","","","0.3912","0.3912","0.3912","0.2047","0.2047","0.2047","0.4192","0.4192","0.4192","0.4555","0.4555","0.4555"
"91","0.3546","0.3546","0.3546","0.4515","0.4515","0.4515","0.4894","0.4894","0.4894","0.4851","0.4851","0.4851","0.4921","0.4921","0.4921","0.4611","0.4611","0.4611","0.4419","0.4419","0.4419","0.4683","0.4683","0.4683","0.4563","0.4563","0.4563","0.3612","0.3612","0.3612","","","","0.3402","0.3402","0.3402","0.4649","0.4649","0.4649","","","","0.3893","0.3893","0.3893","0.2055","0.2055","0.2055","0.4072","0.4072","0.4072","0.4576","0.4576","0.4576"
"92","0.3587","0.3587","0.3587","0.4513","0.4513","0.4513","0.4902","0.4902","0.4902","0.4924","0.4924","0.4924","0.4909","0.4909","0.4909","0.4602","0.4602","0.4602","0.4455","0.4455","0.4455","0.4617","0.4617","0.4617","0.4527","0.4527","0.4527","0.3689","0.3689","0.3689","","","","0.3474","0.3474","0.3474","0.4517","0.4517","0.4517","","","","0.3943","0.3943","0.3943","0.2073","0.2073","0.2073","0.4115","0.4115","0.4115","0.4692","0.4692","0.4692"
"93","0.358","0.358","0.358","0.4476","0.4476","0.4476","0.49","0.49","0.49","0.4865","0.4865","0.4865","0.4877","0.4877","0.4877","0.4583","0.4583","0.4583","0.4405","0.4405","0.4405","0.4621","0.4621","0.4621","0.4546","0.4546","0.4546","0.3654","0.3654","0.3654","","","","0.3141","0.3141","0.3141","0.4673","0.4673","0.4673","","","","0.3984","0.3984","0.3984","0.2083","0.2083","0.2083","0.4182","0.4182","0.4182","0.4606","0.4606","0.4606"
"94","0.3597","0.3597","0.3597","0.4494","0.4494","0.4494","0.4889","0.4889","0.4889","0.4886","0.4886","0.4886","0.4913","0.4913","0.4913","0.4636","0.4636","0.4636","0.4455","0.4455","0.4455","0.4622","0.4622","0.4622","0.452","0.452","0.452","0.3622","0.3622","0.3622","","","","0.3424","0.3424","0.3424","0.4626","0.4626","0.4626","","","","0.3968","0.3968","0.3968","0.2089","0.2089","0.2089","0.3976","0.3976","0.3976","0.4686","0.4686","0.4686"
"95","0.359","0.359","0.359","0.4558","0.4558","0.4558","0.4963","0.4963","0.4963","0.4874","0.4874","0.4874","0.492","0.492","0.492","0.464","0.464","0.464","0.4469","0.4469","0.4469","0.4628","0.4628","0.4628","0.4518","0.4518","0.4518","0.3705","0.3705","0.3705","","","","0.3406","0.3406","0.3406","0.4637","0.4637","0.4637","","","","0.3942","0.3942","0.3942","0.2094","0.2094","0.2094","0.4168","0.4168","0.4168","0.458","0.458","0.458"
"96","0.3642","0.3642","0.3642","0.4521","0.4521","0.4521","0.4931","0.4931","0.4931","0.4892","0.4892","0.4892","0.4921","0.4921","0.4921","0.4627","0.4627","0.4627","0.4442","0.4442","0.4442","0.462","0.462","0.462","0.4513","0.4513","0.4513","0.3616","0.3616","0.3616","","","","0.3392","0.3392","0.3392","0.4622","0.4622","0.4622","","","","0.3835","0.3835","0.3835","0.2115","0.2115","0.2115","0.4187","0.4187","0.4187","0.4695","0.4695","0.4695"
"97","0.3651","0.3651","0.3651","0.456","0.456","0.456","0.4975","0.4975","0.4975","0.4953","0.4953","0.4953","0.4913","0.4913","0.4913","0.4646","0.4646","0.4646","0.4431","0.4431","0.4431","0.4617","0.4617","0.4617","0.4485","0.4485","0.4485","0.3679","0.3679","0.3679","","","","0.336","0.336","0.336","0.4629","0.4629","0.4629","","","","0.3899","0.3899","0.3899","0.2125","0.2125","0.2125","0.4173","0.4173","0.4173","0.4202","0.4202","0.4202"
"98","0.3655","0.3655","0.3655","0.4565","0.4565","0.4565","0.4914","0.4914","0.4914","0.4871","0.4871","0.4871","0.4927","0.4927","0.4927","0.4677","0.4677","0.4677","0.4463","0.4463","0.4463","0.4583","0.4583","0.4583","0.4547","0.4547","0.4547","0.3747","0.3747","0.3747","","","","0.3361","0.3361","0.3361","0.4617","0.4617","0.4617","","","","0.3947","0.3947","0.3947","0.2139","0.2139","0.2139","0.4161","0.4161","0.4161","0.4711","0.4711","0.4711"
"99","0.3682","0.3682","0.3682","0.4584","0.4584","0.4584","0.4963","0.4963","0.4963","0.4846","0.4846","0.4846","0.4884","0.4884","0.4884","0.4656","0.4656","0.4656","0.4472","0.4472","0.4472","0.4603","0.4603","0.4603","0.453","0.453","0.453","0.367","0.367","0.367","","","","0.3347","0.3347","0.3347","0.4549","0.4549","0.4549","","","","0.3921","0.3921","0.3921","0.2156","0.2156","0.2156","0.4218","0.4218","0.4218","0.4502","0.4502","0.4502"
"100","0.3681","0.3681","0.3681","0.4566","0.4566","0.4566","0.4984","0.4984","0.4984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3846","0.3846","0.3846","0.216","0.216","0.216","0.4212","0.4212","0.4212","0.4659","0.4659","0.4659"
"101","0.3687","0.3687","0.3687","0.4611","0.4611","0.4611","0.4941","0.4941","0.4941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3874","0.3874","0.3874","0.2181","0.2181","0.2181","0.4235","0.4235","0.4235","0.4472","0.4472","0.4472"
"102","0.3701","0.3701","0.3701","0.4607","0.4607","0.4607","0.4922","0.4922","0.4922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3865","0.3865","0.3865","0.2189","0.2189","0.2189","0.4344","0.4344","0.4344","0.4558","0.4558","0.4558"
"103","0.3719","0.3719","0.3719","0.4617","0.4617","0.4617","0.4916","0.4916","0.4916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3912","0.3912","0.3912","0.2205","0.2205","0.2205","0.4305","0.4305","0.4305","0.458","0.458","0.458"
"104","0.3703","0.3703","0.3703","0.4634","0.4634","0.4634","0.5001","0.5001","0.5001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3942","0.3942","0.3942","0.2224","0.2224","0.2224","0.4163","0.4163","0.4163","0.4651","0.4651","0.4651"
"105","0.3722","0.3722","0.3722","0.4599","0.4599","0.4599","0.4919","0.4919","0.4919","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3893","0.3893","0.3893","0.2224","0.2224","0.2224","0.422","0.422","0.422","0.4678","0.4678","0.4678"
"106","0.3752","0.3752","0.3752","0.4556","0.4556","0.4556","0.4947","0.4947","0.4947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3948","0.3948","0.3948","0.2228","0.2228","0.2228","0.4244","0.4244","0.4244","0.4378","0.4378","0.4378"
"107","0.3763","0.3763","0.3763","0.4638","0.4638","0.4638","0.4944","0.4944","0.4944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3924","0.3924","0.3924","0.2232","0.2232","0.2232","0.4272","0.4272","0.4272","0.4766","0.4766","0.4766"
"108","0.3757","0.3757","0.3757","0.4647","0.4647","0.4647","0.4977","0.4977","0.4977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3937","0.3937","0.3937","0.2246","0.2246","0.2246","0.4274","0.4274","0.4274","0.4358","0.4358","0.4358"
"109","0.3756","0.3756","0.3756","0.4669","0.4669","0.4669","0.4953","0.4953","0.4953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3906","0.3906","0.3906","0.2267","0.2267","0.2267","0.4183","0.4183","0.4183","0.4304","0.4304","0.4304"
"110","0.3759","0.3759","0.3759","0.4648","0.4648","0.4648","0.4933","0.4933","0.4933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","0.39","0.39","0.2274","0.2274","0.2274","0.4284","0.4284","0.4284","0.4628","0.4628","0.4628"
"111","0.378","0.378","0.378","0.4689","0.4689","0.4689","0.4874","0.4874","0.4874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3915","0.3915","0.3915","0.2282","0.2282","0.2282","0.4188","0.4188","0.4188","0.4711","0.4711","0.4711"
"112","0.3751","0.3751","0.3751","0.4673","0.4673","0.4673","0.4887","0.4887","0.4887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.388","0.388","0.388","0.2281","0.2281","0.2281","0.4379","0.4379","0.4379","0.4682","0.4682","0.4682"
"113","0.3784","0.3784","0.3784","0.4674","0.4674","0.4674","0.4934","0.4934","0.4934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3876","0.3876","0.3876","0.231","0.231","0.231","0.435","0.435","0.435","0.4628","0.4628","0.4628"
"114","0.3777","0.3777","0.3777","0.4717","0.4717","0.4717","0.4869","0.4869","0.4869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3891","0.3891","0.3891","0.2291","0.2291","0.2291","0.4409","0.4409","0.4409","0.473","0.473","0.473"
"115","0.3831","0.3831","0.3831","0.4712","0.4712","0.4712","0.4971","0.4971","0.4971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3871","0.3871","0.3871","0.2316","0.2316","0.2316","0.4205","0.4205","0.4205","0.4392","0.4392","0.4392"
"116","0.3824","0.3824","0.3824","0.4742","0.4742","0.4742","0.498","0.498","0.498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3889","0.3889","0.3889","0.2318","0.2318","0.2318","0.4319","0.4319","0.4319","0.4401","0.4401","0.4401"
"117","0.3842","0.3842","0.3842","0.4719","0.4719","0.4719","0.4929","0.4929","0.4929","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3838","0.3838","0.3838","0.233","0.233","0.233","0.4382","0.4382","0.4382","0.4615","0.4615","0.4615"
"118","0.3826","0.3826","0.3826","0.4748","0.4748","0.4748","0.4896","0.4896","0.4896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3949","0.3949","0.3949","0.2357","0.2357","0.2357","0.4132","0.4132","0.4132","0.474","0.474","0.474"
"119","0.3839","0.3839","0.3839","0.4746","0.4746","0.4746","0.4902","0.4902","0.4902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3888","0.3888","0.3888","0.2338","0.2338","0.2338","0.4431","0.4431","0.4431","0.4815","0.4815","0.4815"
"120","0.3871","0.3871","0.3871","0.4731","0.4731","0.4731","0.4921","0.4921","0.4921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.384","0.384","0.384","0.2366","0.2366","0.2366","0.4331","0.4331","0.4331","0.4787","0.4787","0.4787"
"121","0.3866","0.3866","0.3866","0.4724","0.4724","0.4724","0.4948","0.4948","0.4948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3894","0.3894","0.3894","0.2377","0.2377","0.2377","0.4316","0.4316","0.4316","0.4644","0.4644","0.4644"
"122","0.3856","0.3856","0.3856","0.4752","0.4752","0.4752","0.4987","0.4987","0.4987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3879","0.3879","0.3879","0.2383","0.2383","0.2383","0.4359","0.4359","0.4359","0.4516","0.4516","0.4516"
"123","0.3865","0.3865","0.3865","0.4761","0.4761","0.4761","0.4941","0.4941","0.4941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3855","0.3855","0.3855","0.2409","0.2409","0.2409","0.4131","0.4131","0.4131","0.4367","0.4367","0.4367"
"124","0.39","0.39","0.39","0.4807","0.4807","0.4807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3876","0.3876","0.3876","0.2418","0.2418","0.2418","0.4345","0.4345","0.4345","0.4684","0.4684","0.4684"
"125","0.3882","0.3882","0.3882","0.4734","0.4734","0.4734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3835","0.3835","0.3835","0.2435","0.2435","0.2435","0.4397","0.4397","0.4397","0.4517","0.4517","0.4517"
"126","0.388","0.388","0.388","0.4821","0.4821","0.4821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3854","0.3854","0.3854","0.2438","0.2438","0.2438","0.4284","0.4284","0.4284","0.4799","0.4799","0.4799"
"127","0.3928","0.3928","0.3928","0.4813","0.4813","0.4813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3768","0.3768","0.3768","0.244","0.244","0.244","0.4451","0.4451","0.4451","0.4523","0.4523","0.4523"
"128","0.3902","0.3902","0.3902","0.4822","0.4822","0.4822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3881","0.3881","0.3881","0.2459","0.2459","0.2459","0.4381","0.4381","0.4381","0.4594","0.4594","0.4594"
"129","0.3937","0.3937","0.3937","0.4817","0.4817","0.4817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.387","0.387","0.387","0.248","0.248","0.248","0.4388","0.4388","0.4388","0.4672","0.4672","0.4672"
"130","0.3951","0.3951","0.3951","0.4819","0.4819","0.4819","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3906","0.3906","0.3906","0.2452","0.2452","0.2452","0.4177","0.4177","0.4177","0.4687","0.4687","0.4687"
"131","0.3926","0.3926","0.3926","0.4832","0.4832","0.4832","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3863","0.3863","0.3863","0.2469","0.2469","0.2469","0.4458","0.4458","0.4458","0.4676","0.4676","0.4676"
"132","0.3971","0.3971","0.3971","0.4837","0.4837","0.4837","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3865","0.3865","0.3865","0.25","0.25","0.25","0.4459","0.4459","0.4459","0.4777","0.4777","0.4777"
"133","0.3965","0.3965","0.3965","0.4848","0.4848","0.4848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.387","0.387","0.387","0.2498","0.2498","0.2498","0.4485","0.4485","0.4485","0.4417","0.4417","0.4417"
"134","0.3993","0.3993","0.3993","0.4849","0.4849","0.4849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3791","0.3791","0.3791","0.2519","0.2519","0.2519","0.4349","0.4349","0.4349","0.4779","0.4779","0.4779"
"135","0.3961","0.3961","0.3961","0.4825","0.4825","0.4825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3903","0.3903","0.3903","0.2535","0.2535","0.2535","0.4449","0.4449","0.4449","0.475","0.475","0.475"
"136","0.3989","0.3989","0.3989","0.4879","0.4879","0.4879","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3818","0.3818","0.3818","0.2521","0.2521","0.2521","0.4402","0.4402","0.4402","0.4605","0.4605","0.4605"
"137","0.4003","0.4003","0.4003","0.4847","0.4847","0.4847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3815","0.3815","0.3815","0.252","0.252","0.252","0.4416","0.4416","0.4416","0.4737","0.4737","0.4737"
"138","0.4012","0.4012","0.4012","0.4859","0.4859","0.4859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3882","0.3882","0.3882","0.2535","0.2535","0.2535","0.4499","0.4499","0.4499","0.4779","0.4779","0.4779"
"139","0.4006","0.4006","0.4006","0.4875","0.4875","0.4875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.378","0.378","0.378","0.2537","0.2537","0.2537","0.4336","0.4336","0.4336","0.4735","0.4735","0.4735"
"140","0.4034","0.4034","0.4034","0.4852","0.4852","0.4852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3828","0.3828","0.3828","0.2538","0.2538","0.2538","0.4472","0.4472","0.4472","0.4748","0.4748","0.4748"
"141","0.403","0.403","0.403","0.4913","0.4913","0.4913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3852","0.3852","0.3852","0.2563","0.2563","0.2563","0.4549","0.4549","0.4549","0.4774","0.4774","0.4774"
"142","0.4016","0.4016","0.4016","0.4905","0.4905","0.4905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3855","0.3855","0.3855","0.255","0.255","0.255","0.4358","0.4358","0.4358","0.4555","0.4555","0.4555"
"143","0.4054","0.4054","0.4054","0.4912","0.4912","0.4912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3821","0.3821","0.3821","0.2559","0.2559","0.2559","0.4561","0.4561","0.4561","0.4509","0.4509","0.4509"
"144","0.4031","0.4031","0.4031","0.4916","0.4916","0.4916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3806","0.3806","0.3806","0.2557","0.2557","0.2557","0.4201","0.4201","0.4201","0.473","0.473","0.473"
"145","0.404","0.404","0.404","0.491","0.491","0.491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.383","0.383","0.383","0.2539","0.2539","0.2539","0.4421","0.4421","0.4421","0.4795","0.4795","0.4795"
"146","0.4071","0.4071","0.4071","0.496","0.496","0.496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3829","0.3829","0.3829","0.2548","0.2548","0.2548","0.4507","0.4507","0.4507","0.4508","0.4508","0.4508"
"147","0.407","0.407","0.407","0.4972","0.4972","0.4972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3903","0.3903","0.3903","0.2575","0.2575","0.2575","0.4476","0.4476","0.4476","0.4814","0.4814","0.4814"
"148","0.407","0.407","0.407","0.4935","0.4935","0.4935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3875","0.3875","0.3875","0.2583","0.2583","0.2583","0.4573","0.4573","0.4573","0.4637","0.4637","0.4637"
"149","0.4066","0.4066","0.4066","0.4937","0.4937","0.4937","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3797","0.3797","0.3797","0.2571","0.2571","0.2571","0.4297","0.4297","0.4297","0.4808","0.4808","0.4808"
"150","0.4065","0.4065","0.4065","0.4932","0.4932","0.4932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3868","0.3868","0.3868","0.2569","0.2569","0.2569","0.4559","0.4559","0.4559","0.4853","0.4853","0.4853"
"151","0.4101","0.4101","0.4101","0.4973","0.4973","0.4973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3829","0.3829","0.3829","0.2581","0.2581","0.2581","0.4555","0.4555","0.4555","0.4694","0.4694","0.4694"
"152","0.4074","0.4074","0.4074","0.4996","0.4996","0.4996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3861","0.3861","0.3861","0.2577","0.2577","0.2577","0.4522","0.4522","0.4522","0.4736","0.4736","0.4736"
"153","0.4083","0.4083","0.4083","0.4975","0.4975","0.4975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3856","0.3856","0.3856","0.2607","0.2607","0.2607","0.4562","0.4562","0.4562","0.4741","0.4741","0.4741"
"154","0.4102","0.4102","0.4102","0.4974","0.4974","0.4974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3849","0.3849","0.3849","0.26","0.26","0.26","0.4602","0.4602","0.4602","0.4749","0.4749","0.4749"
"155","0.4123","0.4123","0.4123","0.4982","0.4982","0.4982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3822","0.3822","0.3822","0.2605","0.2605","0.2605","0.4452","0.4452","0.4452","0.4788","0.4788","0.4788"
"156","0.4112","0.4112","0.4112","0.5014","0.5014","0.5014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3867","0.3867","0.3867","0.2615","0.2615","0.2615","0.4252","0.4252","0.4252","0.4765","0.4765","0.4765"
