"Step","lemon-valley-41 - accuracy","lemon-valley-41 - accuracy__MIN","lemon-valley-41 - accuracy__MAX","Best result sgd with sam - accuracy","Best result sgd with sam - accuracy__MIN","Best result sgd with sam - accuracy__MAX","polished-microwave-39 - accuracy","polished-microwave-39 - accuracy__MIN","polished-microwave-39 - accuracy__MAX","SGD with SAM lr-0.1 - accuracy","SGD with SAM lr-0.1 - accuracy__MIN","SGD with SAM lr-0.1 - accuracy__MAX","SGD with sam lr-0.05 - accuracy","SGD with sam lr-0.05 - accuracy__MIN","SGD with sam lr-0.05 - accuracy__MAX","SGD with SAM lr-0.01 - accuracy","SGD with SAM lr-0.01 - accuracy__MIN","SGD with SAM lr-0.01 - accuracy__MAX","Adagrad lr-0.001 - accuracy","Adagrad lr-0.001 - accuracy__MIN","Adagrad lr-0.001 - accuracy__MAX","Adagrad lr-0.005 - accuracy","Adagrad lr-0.005 - accuracy__MIN","Adagrad lr-0.005 - accuracy__MAX","Adagrad lr -0.01 - accuracy","Adagrad lr -0.01 - accuracy__MIN","Adagrad lr -0.01 - accuracy__MAX","RMSprop lr-0.005 - accuracy","RMSprop lr-0.005 - accuracy__MIN","RMSprop lr-0.005 - accuracy__MAX","RMSprop lr-0.05 - accuracy","RMSprop lr-0.05 - accuracy__MIN","RMSprop lr-0.05 - accuracy__MAX","RMSprop lr-0.01 - accuracy","RMSprop lr-0.01 - accuracy__MIN","RMSprop lr-0.01 - accuracy__MAX","Adam lr-0.0001 - accuracy","Adam lr-0.0001 - accuracy__MIN","Adam lr-0.0001 - accuracy__MAX","Adam lr-0.0005 overflow - accuracy","Adam lr-0.0005 overflow - accuracy__MIN","Adam lr-0.0005 overflow - accuracy__MAX","Adam lr-0.001 batch_size 64 - accuracy","Adam lr-0.001 batch_size 64 - accuracy__MIN","Adam lr-0.001 batch_size 64 - accuracy__MAX","SGD lr-0.001 batch_size 256 - accuracy","SGD lr-0.001 batch_size 256 - accuracy__MIN","SGD lr-0.001 batch_size 256 - accuracy__MAX","SGD-lr-0.05-batch_size 128 - accuracy","SGD-lr-0.05-batch_size 128 - accuracy__MIN","SGD-lr-0.05-batch_size 128 - accuracy__MAX","SGD-lr-0.01-batch_size-128 - accuracy","SGD-lr-0.01-batch_size-128 - accuracy__MIN","SGD-lr-0.01-batch_size-128 - accuracy__MAX"
"20","0.1893","0.1893","0.1893","0.311","0.311","0.311","0.4179","0.4179","0.4179","0.4267","0.4267","0.4267","0.3905","0.3905","0.3905","0.3385","0.3385","0.3385","0.3948","0.3948","0.3948","0.4421","0.4421","0.4421","0.4438","0.4438","0.4438","0.3747","0.3747","0.3747","0.1","0.1","0.1","0.3029","0.3029","0.3029","0.4493","0.4493","0.4493","0.4409","0.4409","0.4409","0.436","0.436","0.436","0.1762","0.1762","0.1762","0.2684","0.2684","0.2684","0.329","0.329","0.329"
"21","0.1974","0.1974","0.1974","0.3143","0.3143","0.3143","0.4332","0.4332","0.4332","0.4229","0.4229","0.4229","0.3936","0.3936","0.3936","0.3469","0.3469","0.3469","0.3937","0.3937","0.3937","0.4394","0.4394","0.4394","0.4439","0.4439","0.4439","0.3882","0.3882","0.3882","0.1","0.1","0.1","0.3041","0.3041","0.3041","0.455","0.455","0.455","0.4399","0.4399","0.4399","0.4336","0.4336","0.4336","0.1758","0.1758","0.1758","0.2717","0.2717","0.2717","0.3338","0.3338","0.3338"
"22","0.2022","0.2022","0.2022","0.3207","0.3207","0.3207","0.4294","0.4294","0.4294","0.4254","0.4254","0.4254","0.3912","0.3912","0.3912","0.3498","0.3498","0.3498","0.3992","0.3992","0.3992","0.4459","0.4459","0.4459","0.4462","0.4462","0.4462","0.3769","0.3769","0.3769","0.1","0.1","0.1","0.3212","0.3212","0.3212","0.437","0.437","0.437","0.4483","0.4483","0.4483","0.4321","0.4321","0.4321","0.1754","0.1754","0.1754","0.2774","0.2774","0.2774","0.3435","0.3435","0.3435"
"23","0.2091","0.2091","0.2091","0.3242","0.3242","0.3242","0.4289","0.4289","0.4289","0.4421","0.4421","0.4421","0.4033","0.4033","0.4033","0.354","0.354","0.354","0.403","0.403","0.403","0.4327","0.4327","0.4327","0.4439","0.4439","0.4439","0.3716","0.3716","0.3716","0.1","0.1","0.1","0.3202","0.3202","0.3202","0.4515","0.4515","0.4515","0.4338","0.4338","0.4338","0.4352","0.4352","0.4352","0.1746","0.1746","0.1746","0.2786","0.2786","0.2786","0.3455","0.3455","0.3455"
"24","0.2096","0.2096","0.2096","0.3296","0.3296","0.3296","0.4285","0.4285","0.4285","0.442","0.442","0.442","0.4054","0.4054","0.4054","0.3581","0.3581","0.3581","0.4048","0.4048","0.4048","0.442","0.442","0.442","0.4471","0.4471","0.4471","0.3657","0.3657","0.3657","0.1","0.1","0.1","0.3244","0.3244","0.3244","0.4602","0.4602","0.4602","0.4532","0.4532","0.4532","0.4306","0.4306","0.4306","0.175","0.175","0.175","0.2783","0.2783","0.2783","0.3385","0.3385","0.3385"
"25","0.2153","0.2153","0.2153","0.3333","0.3333","0.3333","0.4368","0.4368","0.4368","0.4426","0.4426","0.4426","0.3999","0.3999","0.3999","0.3606","0.3606","0.3606","0.4017","0.4017","0.4017","0.4439","0.4439","0.4439","0.444","0.444","0.444","0.3733","0.3733","0.3733","0.1","0.1","0.1","0.3122","0.3122","0.3122","0.453","0.453","0.453","0.4398","0.4398","0.4398","0.4262","0.4262","0.4262","0.1752","0.1752","0.1752","0.2869","0.2869","0.2869","0.3487","0.3487","0.3487"
"26","0.2212","0.2212","0.2212","0.3349","0.3349","0.3349","0.439","0.439","0.439","0.4527","0.4527","0.4527","0.4047","0.4047","0.4047","0.3648","0.3648","0.3648","0.402","0.402","0.402","0.4404","0.4404","0.4404","0.4551","0.4551","0.4551","0.3697","0.3697","0.3697","0.1","0.1","0.1","0.315","0.315","0.315","0.4589","0.4589","0.4589","0.4419","0.4419","0.4419","0.4386","0.4386","0.4386","0.1753","0.1753","0.1753","0.2859","0.2859","0.2859","0.3637","0.3637","0.3637"
"27","0.2303","0.2303","0.2303","0.3363","0.3363","0.3363","0.4427","0.4427","0.4427","0.4549","0.4549","0.4549","0.4079","0.4079","0.4079","0.3675","0.3675","0.3675","0.406","0.406","0.406","0.4496","0.4496","0.4496","0.4527","0.4527","0.4527","0.3751","0.3751","0.3751","0.1","0.1","0.1","0.3233","0.3233","0.3233","0.4595","0.4595","0.4595","0.4389","0.4389","0.4389","0.4209","0.4209","0.4209","0.1756","0.1756","0.1756","0.2918","0.2918","0.2918","0.3633","0.3633","0.3633"
"28","0.2385","0.2385","0.2385","0.3431","0.3431","0.3431","0.4479","0.4479","0.4479","0.4441","0.4441","0.4441","0.4114","0.4114","0.4114","0.3707","0.3707","0.3707","0.409","0.409","0.409","0.4432","0.4432","0.4432","0.4486","0.4486","0.4486","0.3707","0.3707","0.3707","0.1","0.1","0.1","0.3003","0.3003","0.3003","0.4689","0.4689","0.4689","0.4433","0.4433","0.4433","0.4322","0.4322","0.4322","0.176","0.176","0.176","0.2948","0.2948","0.2948","0.367","0.367","0.367"
"29","0.2455","0.2455","0.2455","0.3463","0.3463","0.3463","0.4497","0.4497","0.4497","0.4498","0.4498","0.4498","0.417","0.417","0.417","0.3704","0.3704","0.3704","0.4105","0.4105","0.4105","0.4457","0.4457","0.4457","0.453","0.453","0.453","0.3755","0.3755","0.3755","0.0998","0.0998","0.0998","0.3122","0.3122","0.3122","0.4576","0.4576","0.4576","0.4396","0.4396","0.4396","0.4281","0.4281","0.4281","0.1765","0.1765","0.1765","0.2975","0.2975","0.2975","0.3699","0.3699","0.3699"
